l,Prov_category,provenance_url,dataset_url,source_url,Licence Category,License URL,
dc/base/PlaceIdDcidMappings,PlaceProvenance,https://www.google.com,https://www.google.com/,https://www.google.com/,Proprietary / Terms of Service Restrictions,https://policies.google.com/terms,
dc/base/PlacePageComparisonCohortSets,PlaceProvenance,https://datacommons.org,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/RFFGridGeos,PlaceProvenance,https://www.rff.org/publications/data-tools/,,,Creative Commons Attribution Non-Commercial No Derivatives License,https://www.rff.org/privacy-policy/,
dc/base/RFF_ClimateWildfireSmoke_EchoLab,StatisticsProvenance,https://www.stanfordecholab.com/wildfire_smoke,https://www.rff.org/publications/data-tools/,https://www.rff.org/,Creative Commons Attribution Non-Commercial No Derivatives License,https://www.rff.org/privacy-policy/,
dc/base/RFF_ClimateWildfireSmoke_MTBS,StatisticsProvenance,https://www.mtbs.gov,https://www.rff.org/publications/data-tools/,https://www.rff.org/,Creative Commons Attribution Non-Commercial No Derivatives License,https://www.rff.org/privacy-policy/,
dc/base/RFF_ClimateWildfireSmoke_ParksAbatzoglou,StatisticsProvenance,https://doi.org/10.5061/dryad.tmpg4f4x1,https://www.rff.org/publications/data-tools/,https://www.rff.org/,Creative Commons Attribution Non-Commercial No Derivatives License,https://www.rff.org/privacy-policy/,
dc/base/RandolphGlacierInventory,PlaceProvenance,https://www.glims.org/RGI/rgi60_dl.html,https://www.glims.org/RGI/rgi60_dl.html,https://www.glims.org/,Open Access,https://www.glims.org/About/citations.html,
dc/base/RandolphGlacierInventory_Area,StatisticsProvenance,https://www.glims.org/RGI/rgi60_dl.html,https://www.glims.org/RGI/rgi60_dl.html,https://www.glims.org/,Open Access,https://www.glims.org/About/citations.html,
dc/base/RawStatVars,CuratedStatvarProvenance,https://datacommons.org,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/S2Cells,PlaceProvenance,https://s2geometry.io/resources/s2cell_statistics.html,,,Apache License 2.0.,https://github.com/google/s2-geometry-library-java/blob/master/LICENSE,
dc/base/StormNOAA,EntityProvenance,https://www.ncdc.noaa.gov/,https://www.ncdc.noaa.gov/stormevents/ftp.jsp,https://www.noaa.gov/,PublicDomain,https://www.weather.gov/disclaimer,
dc/base/Sweden_Census,StatisticsProvenance,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/,https://www.scb.se/en/,Creative Commons Attribution License,https://www.scb.se/en/About-us/about-the-website-and-terms-of-use/accessibility-statement/,
dc/base/TemperatureEvents,EntityProvenance,https://datacommons.org/,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/TideGaugeStations,PlaceProvenance,https://podaac.jpl.nasa.gov/,,,PublicDomain,https://podaac.jpl.nasa.gov/CitingPODAAC,
dc/base/UNGeodataSimplified,PlaceProvenance,https://geoportal.un.org/arcgis/apps/sites/#/geohub/datasets/d7caaff3ef4b4f7c82689b7c4694ad92/about,https://geoportal.un.org/,https://www.un.org/en/,Proprietary / Restricted Non-Commercial License,https://www.un.org/en/about-us/terms-of-use,
dc/base/UN_SDG,StatisticsProvenance,https://unstats.un.org/sdgs/dataportal,https://unstats.un.org/sdgs/dataportal,https://www.un.org/en/,Proprietary / Restricted Non-Commercial License,https://www.un.org/en/about-us/terms-of-use,
dc/base/UN_WHO,StatisticsProvenance,https://www.who.int/data,https://www.who.int/data,https://www.who.int/,Creative Commons Attribution Non-Commercial ShareAlike License,https://www.who.int/about/policies/publishing/copyright,
dc/base/USCensusGeos_SurfaceArea,StatisticsProvenance,https://www.census.gov/geographies/reference-files.html,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,https://www.census.gov/,PublicDomain,https://www.census.gov/about/policies/privacy/privacy-policy.html,
dc/base/USDOL_ETA539,StatisticsProvenance,https://oui.doleta.gov/unemploy/,https://oui.doleta.gov/unemploy/DataDownloads.asp,https://www.dol.gov/,PublicDomain,https://www.dol.gov/general/aboutdol/copyright,
dc/base/USDecennialCensus_RedistrictingRelease,StatisticsProvenance,https://www.census.gov/programs-surveys/decennial-census/about/rdo/summary-files.html,https://www.census.gov,https://www.census.gov/,PublicDomain,https://www.census.gov/about/policies/privacy/privacy-policy.html,
dc/base/USEconomicCensus,StatisticsProvenance,https://www.census.gov/programs-surveys/economic-census.html,https://www.census.gov/programs-surveys/economic-census/about.html,https://www.census.gov/,PublicDomain,https://www.census.gov/about/policies/privacy/privacy-policy.html,
dc/base/USFed_ConstantMaturityRates,StatisticsProvenance,https://www.federalreserve.gov/releases/h15/,https://www.federalreserve.gov/releases/h15/default.htm,https://www.federalreserve.gov/,PublicDomain,https://www.federalreserveconsumerhelp.gov/disclaimers/,
dc/base/USGSWaterUse,StatisticsProvenance,https://waterdata.usgs.gov/nwis/wu,https://waterdata.usgs.gov/nwis/wu,https://www.usgs.gov/,PublicDomain,https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,
dc/base/US_CDC_PRAMS,StatisticsProvenance,https://www.cdc.gov/prams/prams-data/,https://www.cdc.gov/prams/php/data-research/index.html,https://www.cdc.gov/,PublicDomain,https://www.cdc.gov/other/agencymaterials.html,
dc/base/US_Federal_Rates,StatisticsProvenance,https://www.federalreserve.gov/DataDownload/Choose.aspx?rel=H15,https://www.federalreserve.gov/DataDownload/Choose.aspx?rel=H15,https://www.federalreserve.gov/,PublicDomain,https://www.federalreserveconsumerhelp.gov/disclaimers/,
dc/base/UnitedKingdomMHCLG_IMD2019,StatisticsProvenance,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019/,https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
dc/base/UniversityData,StatisticsProvenance,https://collegescorecard.ed.gov,https://collegescorecard.ed.gov/data,https://www.ed.gov/,PublicDomain,https://www.ed.gov/about/ed-overview/required-notices/website-policies/copyright-status-notice,
dc/base/Vietnam_Census,StatisticsProvenance,https://www.gso.gov.vn/en/homepage/,https://www.gso.gov.vn/en/px-web/?pxid=E0201&theme=Population%20and%20Employment,https://www.gso.gov.vn/en/homepage/,Government-Controlled / Restricted Use,https://www.nso.gov.vn/en/legal-document/,
dc/base/WRIS_India_Rainfall,StatisticsProvenance,https://indiawris.gov.in/wris/#/DataDownload,https://indiawris.gov.in/wris/#/DataDownload,https://indiawris.gov.in/wris/#/,Government Open Data License - India,https://www.data.gov.in/Godl,
dc/base/WeatherNOAA,EntityProvenance,https://www.noaa.gov/weather,,,PublicDomain,https://www.weather.gov/disclaimer,
dc/base/WetBulbTemperatureEventPlaces_AutoRefresh,StatisticsProvenance,https://datacommons.org/,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/WetBulbTemperatureEvents_AutoRefresh,EntityProvenance,https://datacommons.org/,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/WikidataGeo_Afghanistan,PlaceProvenance,https://www.wikidata.org/,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataGeo_Argentina,PlaceProvenance,https://www.wikidata.org/,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataGeo_Israel,PlaceProvenance,https://www.wikidata.org/,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataGeo_Myanmar,PlaceProvenance,https://www.wikidata.org/,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataGeo_Norway,PlaceProvenance,https://en.wikipedia.org/wiki/Counties_of_Norway,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataGeo_Qatar,PlaceProvenance,https://www.wikidata.org/,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataGeo_Somalia_ADM2,PlaceProvenance,https://en.wikipedia.org/wiki/States_and_regions_of_Somalia,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataGeo_SouthKorea,PlaceProvenance,https://www.wikidata.org/,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataGeo_Turkmenistan,PlaceProvenance,https://www.wikidata.org/,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataGeos,PlaceProvenance,https://www.wikidata.org/,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataI18nNames,PlaceProvenance,https://www.wikidata.org/,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataIdDcidMappings,PlaceProvenance,https://www.google.com,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataOtherIdGeos,PlaceProvenance,https://www.wikidata.org/,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikidataPopulation,StatisticsProvenance,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WikipediaStatsData,StatisticsProvenance,https://www.wikipedia.org,,,Creative Commons Attribution ShareAlikeLicense,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,
dc/base/WorldBankCountryBoundaries,PlaceProvenance,https://datacatalog.worldbank.org/dataset/world-bank-official-boundaries,https://datacatalog.worldbank.org/search/dataset/0038272/World-Bank-Official-Boundaries,https://www.worldbank.org/en/home,Creative Commons Attribution License,https://data.worldbank.org/summary-terms-of-use,
dc/base/usa_child_birth,StatisticsProvenance,https://www.cdc.gov/nchs/nvss/vsrr/provisional-tables.htm,https://www.cdc.gov/nchs/nvss/vsrr/provisional-tables.html,https://www.cdc.gov/,PublicDomain,https://www.cdc.gov/other/agencymaterials.html,
