dcid,prov_url,sourceDataUrl,dataset_url,source_url
dc/base/OWID_COVID19,https://ourworldindata.org/coronavirus,https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/owid-covid-data.csv,https://github.com/owid/covid-19-data/tree/master/public/data/vaccinations,https://ourworldindata.org/
dc/base/OpportunityInsightsNeighborhoods,http://opportunityinsights.org,,https://opportunityinsights.org/data/,https://opportunityinsights.org/
dc/base/OpportunityInsightsOutcomes,http://opportunityinsights.org/data,,https://opportunityinsights.org/data/,https://opportunityinsights.org/
dc/base/PlaceIdDcidMappings,https://www.google.com,,https://www.google.com/,https://www.google.com/
dc/base/PlacePageComparisonCohortSets,https://datacommons.org,,https://datacommons.org/,https://datacommons.org/
dc/base/RFFGridGeos,https://www.rff.org/publications/data-tools/,,,
dc/base/RFF_ClimateWildfireSmoke_EchoLab,https://www.stanfordecholab.com/wildfire_smoke,,https://www.rff.org/publications/data-tools/,https://www.rff.org/
dc/base/RFF_ClimateWildfireSmoke_MTBS,https://www.mtbs.gov,,https://www.rff.org/publications/data-tools/,https://www.rff.org/
dc/base/RFF_ClimateWildfireSmoke_ParksAbatzoglou,https://doi.org/10.5061/dryad.tmpg4f4x1,,https://www.rff.org/publications/data-tools/,https://www.rff.org/
dc/base/RandolphGlacierInventory,https://www.glims.org/RGI/rgi60_dl.html,,https://www.glims.org/RGI/rgi60_dl.html,https://www.glims.org/
dc/base/RandolphGlacierInventory_Area,https://www.glims.org/RGI/rgi60_dl.html,,https://www.glims.org/RGI/rgi60_dl.html,https://www.glims.org/
dc/base/RawStatVars,https://datacommons.org,,https://datacommons.org/,https://datacommons.org/
dc/base/S2Cells,https://s2geometry.io/resources/s2cell_statistics.html,,,
dc/base/StormNOAA,https://www.ncdc.noaa.gov/,https://www.ncdc.noaa.gov/stormevents/ftp.jsp,https://www.ncdc.noaa.gov/stormevents/ftp.jsp,https://www.noaa.gov/
dc/base/StormNOAA_Agg,https://www.ncdc.noaa.gov/,https://www.ncdc.noaa.gov/stormevents/ftp.jsp,https://www.ncdc.noaa.gov/stormevents/ftp.jsp,https://www.noaa.gov/
dc/base/Sweden_Census,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/,,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/,https://www.scb.se/en/
dc/base/TemperatureEvents,https://datacommons.org/,,https://datacommons.org/,https://datacommons.org/
dc/base/TemperatureEvents_Agg,https://datacommons.org,,https://datacommons.org/,https://datacommons.org/
dc/base/TideGaugeStations,https://podaac.jpl.nasa.gov/,,,
dc/base/UNGeodataSimplified,https://geoportal.un.org/arcgis/apps/sites/#/geohub/datasets/d7caaff3ef4b4f7c82689b7c4694ad92/about,,https://geoportal.un.org/,https://www.un.org/en/
dc/base/UN_SDG,https://unstats.un.org/sdgs/dataportal,,https://unstats.un.org/sdgs/dataportal,https://www.un.org/en/
dc/base/UN_WHO,https://www.who.int/data,,https://www.who.int/data,https://www.who.int/
dc/base/USCensusGeos_SurfaceArea,https://www.census.gov/geographies/reference-files.html,,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,https://www.census.gov/
dc/base/USDA_AgricultureCensus_Agriculture_StatVarAgg,https://www.nass.usda.gov/AgCensus/,,https://www.nass.usda.gov/AgCensus/,https://www.usda.gov/
dc/base/USDOL_ETA539,https://oui.doleta.gov/unemploy/,https://oui.doleta.gov/unemploy/csv/ar539.csv,https://oui.doleta.gov/unemploy/DataDownloads.asp,https://www.dol.gov/
dc/base/USDecennialCensus_RedistrictingRelease,https://www.census.gov/programs-surveys/decennial-census/about/rdo/summary-files.html,,https://www.census.gov,https://www.census.gov/
dc/base/USEconomicCensus,https://www.census.gov/programs-surveys/economic-census.html,https://www2.census.gov/programs-surveys/economic-census/data/,https://www.census.gov/programs-surveys/economic-census/about.html,https://www.census.gov/
dc/base/USFed_ConstantMaturityRates,https://www.federalreserve.gov/releases/h15/,https://www.federalreserve.gov/datadownload/Choose.aspx?rel=H15,https://www.federalreserve.gov/releases/h15/default.htm,https://www.federalreserve.gov/
dc/base/USGSWaterUse,https://waterdata.usgs.gov/nwis/wu,,https://waterdata.usgs.gov/nwis/wu,https://www.usgs.gov/
dc/base/US_CDC_PRAMS,https://www.cdc.gov/prams/prams-data/,,https://www.cdc.gov/prams/php/data-research/index.html,https://www.cdc.gov/
dc/base/US_Federal_Rates,https://www.federalreserve.gov/DataDownload/Choose.aspx?rel=H15,,https://www.federalreserve.gov/DataDownload/Choose.aspx?rel=H15,https://www.federalreserve.gov/
dc/base/UnitedKingdomMHCLG_IMD2019,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019/,https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government
dc/base/UniversityData,https://collegescorecard.ed.gov,,https://collegescorecard.ed.gov/data,https://www.ed.gov/
dc/base/Vietnam_Census,https://www.gso.gov.vn/en/homepage/,,https://www.gso.gov.vn/en/px-web/?pxid=E0201&theme=Population%20and%20Employment,https://www.gso.gov.vn/en/homepage/
dc/base/WRIS_India_Rainfall,https://indiawris.gov.in/wris/#/DataDownload,,https://indiawris.gov.in/wris/#/DataDownload,https://indiawris.gov.in/wris/#/
dc/base/WeatherNOAA,https://www.noaa.gov/weather,,,
dc/base/WetBulbTemperatureEventPlaces_AutoRefresh,https://datacommons.org/,,https://datacommons.org/,https://datacommons.org/
dc/base/WetBulbTemperatureEvents_AutoRefresh,https://datacommons.org/,,https://datacommons.org/,https://datacommons.org/
dc/base/WikidataGeo_Afghanistan,https://www.wikidata.org/,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataGeo_Argentina,https://www.wikidata.org/,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataGeo_Israel,https://www.wikidata.org/,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataGeo_Myanmar,https://www.wikidata.org/,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataGeo_Norway,https://en.wikipedia.org/wiki/Counties_of_Norway,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataGeo_Qatar,https://www.wikidata.org/,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataGeo_Somalia_ADM2,https://en.wikipedia.org/wiki/States_and_regions_of_Somalia,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataGeo_SouthKorea,https://www.wikidata.org/,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataGeo_Turkmenistan,https://www.wikidata.org/,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataGeos,https://www.wikidata.org/,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataI18nNames,https://www.wikidata.org/,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataIdDcidMappings,https://www.google.com,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataOtherIdGeos,https://www.wikidata.org/,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikidataPopulation,https://www.wikidata.org/wiki/Wikidata:Main_Page,,https://www.wikidata.org/wiki/Wikidata:Main_Page,https://wikimediafoundation.org/
dc/base/WikipediaStatsData,https://www.wikipedia.org,,,
dc/base/WorldBankCountryBoundaries,https://datacatalog.worldbank.org/dataset/world-bank-official-boundaries,,https://datacatalog.worldbank.org/search/dataset/0038272/World-Bank-Official-Boundaries,https://www.worldbank.org/en/home
dc/base/usa_child_birth,https://www.cdc.gov/nchs/nvss/vsrr/provisional-tables.htm,https://data.cdc.gov/api/views/hmz2-vwda/rows.csv?accessType=DOWNLOAD,https://www.cdc.gov/nchs/nvss/vsrr/provisional-tables.html,https://www.cdc.gov/
